"country","edu.att","year","sigma"
"Jordan","secondary.higher","2011",0.155582598259697
"Jordan","secondary.higher","2012",0.155582598259697
"Jordan","secondary.higher","2013",0.146603074052819
"Jordan","secondary.higher","2014",0.146603074052819
"Jordan","secondary.higher","2015",0.146603074052819
"Jordan","secondary.higher","2016",0.146603074052819
"Jordan","secondary.higher","2017",0.146603074052819
"Jordan","tot","1978",NA
"Jordan","tot","1979",NA
"Jordan","tot","1980",0.0695503654575952
"Jordan","tot","1981",0.0695503654575952
"Jordan","tot","1982",0.0695503654575952
"Jordan","tot","1983",0.0695503654575952
"Jordan","tot","1984",0.0695503654575952
"Jordan","tot","1985",0.0695503654575952
"Jordan","tot","1986",0.0695503654575952
"Jordan","tot","1987",0.0785481650334386
"Jordan","tot","1988",0.0785481650334386
"Jordan","tot","1989",0.0785481650334386
"Jordan","tot","1990",0.0785481650334386
"Jordan","tot","1991",0.0902249271235703
"Jordan","tot","1992",0.0861097368164297
"Jordan","tot","1993",0.0861097368164297
"Jordan","tot","1994",0.0861097368164297
"Jordan","tot","1995",0.0861097368164297
"Jordan","tot","1996",0.0861097368164297
"Jordan","tot","1997",0.0992857483910634
"Jordan","tot","1998",0.105332353358077
"Jordan","tot","1999",0.124889953929975
"Jordan","tot","2000",0.124889953929975
"Jordan","tot","2001",0.124889953929975
"Jordan","tot","2002",0.132165882434787
"Jordan","tot","2003",0.152774728438241
"Jordan","tot","2004",0.152774728438241
"Jordan","tot","2005",0.152774728438241
"Jordan","tot","2006",0.152774728438241
"Jordan","tot","2007",0.149443746210505
"Jordan","tot","2008",0.154273872812219
"Jordan","tot","2009",0.154273872812219
"Jordan","tot","2010",0.150066916675699
"Jordan","tot","2011",0.150066916675699
"Jordan","tot","2012",0.150066916675699
"Jordan","tot","2013",0.135649575266997
"Jordan","tot","2014",0.135649575266997
"Jordan","tot","2015",0.135649575266997
"Jordan","tot","2016",0.135649575266997
"Jordan","tot","2017",0.135649575266997
"Tunisia","no.edu.primary","1978",0.078186855818902
"Tunisia","no.edu.primary","1979",0.078186855818902
"Tunisia","no.edu.primary","1980",0.078186855818902
"Tunisia","no.edu.primary","1981",0.078186855818902
"Tunisia","no.edu.primary","1982",0.078186855818902
"Tunisia","no.edu.primary","1983",0.078186855818902
"Tunisia","no.edu.primary","1984",0.078186855818902
"Tunisia","no.edu.primary","1985",0.078186855818902
"Tunisia","no.edu.primary","1986",0.078186855818902
"Tunisia","no.edu.primary","1987",0.078186855818902
"Tunisia","no.edu.primary","1988",0.078186855818902
"Tunisia","no.edu.primary","1989",NA
"Tunisia","no.edu.primary","1990",NA
"Tunisia","no.edu.primary","1991",NA
"Tunisia","no.edu.primary","1992",NA
"Tunisia","no.edu.primary","1993",NA
"Tunisia","no.edu.primary","1994",NA
"Tunisia","no.edu.primary","1995",NA
"Tunisia","no.edu.primary","1996",NA
"Tunisia","no.edu.primary","1997",NA
"Tunisia","no.edu.primary","1998",NA
"Tunisia","no.edu.primary","1999",NA
"Tunisia","no.edu.primary","2000",NA
"Tunisia","no.edu.primary","2001",NA
"Tunisia","no.edu.primary","2002",NA
"Tunisia","no.edu.primary","2003",NA
"Tunisia","no.edu.primary","2004",NA
"Tunisia","no.edu.primary","2005",NA
"Tunisia","no.edu.primary","2006",NA
"Tunisia","no.edu.primary","2007",NA
"Tunisia","no.edu.primary","2008",NA
"Tunisia","no.edu.primary","2009",NA
